,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths,policy
30441,1932317.4324848894,223656192.13919768,473000000.0,78.08439533331261,0.00026019522731839356,scenario 4 option 86
30442,440853.67495070316,223656192.13919768,473000000.0,34.51633846443581,5.466102022758116e-05,scenario 4 option 86
30443,0.0,223656192.13919768,473000000.0,0.0,0.0,scenario 4 option 86
30444,83492468.76539294,223656192.13919768,473000000.0,4932.2940543239,0.014304520984880942,scenario 4 option 86
30445,0.0,223656192.13919768,473000000.0,0.0,0.0,scenario 4 option 86
30446,3332370.7265421133,223656192.13919768,473000000.0,194.47438138307257,0.0006478460857581975,scenario 4 option 86
30447,2042891933.894311,223656192.13919768,473000000.0,23903.7376810532,0.23578048392504508,scenario 4 option 86
30448,1541312.602779105,223656192.13919768,473000000.0,62.06577480495034,9.393173148300789e-05,scenario 4 option 86
30449,0.0,223656192.13919768,473000000.0,0.0,0.0,scenario 4 option 86
30450,1673589.7691445772,223656192.13919768,473000000.0,78.5985554188922,0.00026485354943688266,scenario 4 option 86
30451,31535121.868201107,223656192.13919768,473000000.0,1622.364342162198,0.004347424460325232,scenario 4 option 86
30452,0.0,223656192.13919768,473000000.0,0.0,0.0,scenario 4 option 86
30453,0.0,223656192.13919768,473000000.0,0.0,0.0,scenario 4 option 86
30454,6036046.428447014,223656192.13919768,473000000.0,51.98370176734383,0.0005127542195476232,scenario 4 option 86
30455,0.0,223656192.13919768,473000000.0,0.0,0.0,scenario 4 option 86
30456,14317483.106408538,223656192.13919768,473000000.0,841.4132522448284,0.0027208887051475123,scenario 4 option 86
30457,0.0,223656192.13919768,473000000.0,0.0,0.0,scenario 4 option 86
30458,0.0,223656192.13919768,473000000.0,0.0,0.0,scenario 4 option 86
30459,0.0,223656192.13919768,473000000.0,0.0,0.0,scenario 4 option 86
30460,0.0,223656192.13919768,473000000.0,0.0,0.0,scenario 4 option 86
30461,2216699066.4053097,223656192.13919768,473000000.0,23903.7376810532,0.23578048392504508,scenario 4 option 86
30462,0.0,223656192.13919768,473000000.0,0.0,0.0,scenario 4 option 86
30463,47949793.109413065,223656192.13919768,473000000.0,454.5263401055365,0.004483334023185329,scenario 4 option 86
30464,8753766.779364128,223656192.13919768,473000000.0,354.4682828066067,0.001170923548855719,scenario 4 option 86
30465,292132847.7458341,223656192.13919768,473000000.0,14238.86300263355,0.03865810973276536,scenario 4 option 86
30466,0.0,223656192.13919768,473000000.0,0.0,0.0,scenario 4 option 86
30467,4575377.301012532,223656192.13919768,473000000.0,193.8261556620282,0.0006419731207054737,scenario 4 option 86
30468,49891374.22810978,223656192.13919768,473000000.0,2904.8095049794724,0.008937249843687427,scenario 4 option 86
30469,38236992.01122111,223656192.13919768,473000000.0,2307.1773466143895,0.002367593491936669,scenario 4 option 86
30470,16084767.470129734,223656192.13919768,473000000.0,690.7197068365992,0.002319933024330974,scenario 4 option 86
30471,1160591331.5802593,223656192.13919768,473000000.0,10818.674303563832,0.10671269475750622,scenario 4 option 86
30472,27812247.498155348,223656192.13919768,473000000.0,1471.6254887977927,0.0036710775702571813,scenario 4 option 86
30473,0.0,223656192.13919768,473000000.0,0.0,0.0,scenario 4 option 86
30474,1666580.5919363056,223656192.13919768,473000000.0,78.36424919905159,0.0002627307206195646,scenario 4 option 86
30475,0.0,223656192.13919768,473000000.0,0.0,0.0,scenario 4 option 86
30476,0.0,223656192.13919768,473000000.0,0.0,0.0,scenario 4 option 86
30477,0.0,223656192.13919768,473000000.0,0.0,0.0,scenario 4 option 86
30478,0.0,223656192.13919768,473000000.0,0.0,0.0,scenario 4 option 86
30479,0.0,223656192.13919768,473000000.0,0.0,0.0,scenario 4 option 86
30480,0.0,223656192.13919768,473000000.0,0.0,0.0,scenario 4 option 86
30481,0.0,223656192.13919768,473000000.0,0.0,0.0,scenario 4 option 86
30482,2644369349.7110147,223656192.13919768,473000000.0,23903.7376810532,0.23578048392504508,scenario 4 option 86
30483,11343721.13289892,223656192.13919768,473000000.0,129.4906532914177,0.001277263384672295,scenario 4 option 86
30484,0.0,223656192.13919768,473000000.0,0.0,0.0,scenario 4 option 86
30485,0.0,223656192.13919768,473000000.0,0.0,0.0,scenario 4 option 86
30486,0.0,223656192.13919768,473000000.0,0.0,0.0,scenario 4 option 86
30487,0.0,223656192.13919768,473000000.0,0.0,0.0,scenario 4 option 86
30488,447798604.4276259,223656192.13919768,473000000.0,5954.791663719001,0.05873657412402747,scenario 4 option 86
30489,0.0,223656192.13919768,473000000.0,0.0,0.0,scenario 4 option 86
30490,0.0,223656192.13919768,473000000.0,0.0,0.0,scenario 4 option 86
30491,36467940.53429089,223656192.13919768,473000000.0,1361.754805789655,0.004269811649661412,scenario 4 option 86
30492,0.0,223656192.13919768,473000000.0,0.0,0.0,scenario 4 option 86
30493,0.0,223656192.13919768,473000000.0,0.0,0.0,scenario 4 option 86
30494,0.0,223656192.13919768,473000000.0,0.0,0.0,scenario 4 option 86
30495,13760201.901925676,223656192.13919768,473000000.0,137.32182040100332,0.0012895847285056574,scenario 4 option 86
30496,0.0,223656192.13919768,473000000.0,0.0,0.0,scenario 4 option 86
30497,1533007.518087671,223656192.13919768,473000000.0,15.607442341446214,0.0001539479037629854,scenario 4 option 86
30498,0.0,223656192.13919768,473000000.0,0.0,0.0,scenario 4 option 86
30499,2390506198.916308,223656192.13919768,473000000.0,23903.7376810532,0.23578048392504508,scenario 4 option 86
30500,0.0,403034360.6977581,176700000.0,0.0,0.0,scenario 4 option 88
30501,40962267.10023314,403034360.6977581,176700000.0,0.0,0.019724979555646522,scenario 4 option 88
30502,0.0,403034360.6977581,176700000.0,0.0,0.0,scenario 4 option 88
30503,14435644.875467114,403034360.6977581,176700000.0,0.0,0.006513992584197411,scenario 4 option 88
30504,9024513.306288186,403034360.6977581,176700000.0,0.0,0.00431499489623027,scenario 4 option 88
30505,1208919.3400826142,403034360.6977581,176700000.0,0.0,0.0015199174293998746,scenario 4 option 88
30506,7268706.073604598,403034360.6977581,176700000.0,0.0,0.005194885114141507,scenario 4 option 88
30507,0.0,403034360.6977581,176700000.0,0.0,0.0,scenario 4 option 88
30508,6612607.326389306,403034360.6977581,176700000.0,0.0,0.0032027007470413413,scenario 4 option 88
30509,0.0,403034360.6977581,176700000.0,0.0,0.0,scenario 4 option 88
30510,0.0,403034360.6977581,176700000.0,0.0,0.0,scenario 4 option 88
30511,0.0,403034360.6977581,176700000.0,0.0,0.0,scenario 4 option 88
30512,0.0,403034360.6977581,176700000.0,0.0,0.0,scenario 4 option 88
30513,0.0,403034360.6977581,176700000.0,0.0,0.0,scenario 4 option 88
30514,0.0,403034360.6977581,176700000.0,0.0,0.0,scenario 4 option 88
30515,1606944.376137528,403034360.6977581,176700000.0,0.0,0.001635832772523328,scenario 4 option 88
30516,0.0,403034360.6977581,176700000.0,0.0,0.0,scenario 4 option 88
30517,4172753.996091296,403034360.6977581,176700000.0,0.0,0.0038879629317310725,scenario 4 option 88
30518,17115427.487171352,403034360.6977581,176700000.0,0.0,0.011997708555089541,scenario 4 option 88
30519,0.0,403034360.6977581,176700000.0,0.0,0.0,scenario 4 option 88
30520,0.0,403034360.6977581,176700000.0,0.0,0.0,scenario 4 option 88
30521,90848644.41671278,403034360.6977581,176700000.0,0.0,0.07706822813676643,scenario 4 option 88
30522,2265251.3851475334,403034360.6977581,176700000.0,0.0,0.0015656623265682588,scenario 4 option 88
30523,0.0,403034360.6977581,176700000.0,0.0,0.0,scenario 4 option 88
30524,600587.0948495164,403034360.6977581,176700000.0,0.0,0.0008611201663294147,scenario 4 option 88
30525,0.0,403034360.6977581,176700000.0,0.0,0.0,scenario 4 option 88
30526,0.0,403034360.6977581,176700000.0,0.0,0.0,scenario 4 option 88
30527,1016206046.5897686,403034360.6977581,176700000.0,0.0,0.8889162268744202,scenario 4 option 88
30528,2917192.740092627,403034360.6977581,176700000.0,0.0,0.0013930040056081925,scenario 4 option 88
30529,540049.557378582,403034360.6977581,176700000.0,0.0,0.0003435938686760017,scenario 4 option 88
30530,0.0,403034360.6977581,176700000.0,0.0,0.0,scenario 4 option 88
30531,0.0,403034360.6977581,176700000.0,0.0,0.0,scenario 4 option 88
30532,1428426.1729985606,403034360.6977581,176700000.0,0.0,0.0009356075719269192,scenario 4 option 88
30533,0.0,403034360.6977581,176700000.0,0.0,0.0,scenario 4 option 88
30534,0.0,403034360.6977581,176700000.0,0.0,0.0,scenario 4 option 88
30535,0.0,403034360.6977581,176700000.0,0.0,0.0,scenario 4 option 88
30536,5114050.098886228,403034360.6977581,176700000.0,0.0,0.007148137417823375,scenario 4 option 88
30537,0.0,403034360.6977581,176700000.0,0.0,0.0,scenario 4 option 88
30538,0.0,403034360.6977581,176700000.0,0.0,0.0,scenario 4 option 88
30539,3871864.7223540302,403034360.6977581,176700000.0,0.0,0.0021565672747643734,scenario 4 option 88
30540,0.0,403034360.6977581,176700000.0,0.0,0.0,scenario 4 option 88
30541,0.0,403034360.6977581,176700000.0,0.0,0.0,scenario 4 option 88
30542,6927635.526507132,403034360.6977581,176700000.0,0.0,0.005102982361699034,scenario 4 option 88
30543,0.0,403034360.6977581,176700000.0,0.0,0.0,scenario 4 option 88
30544,17023789.913023666,403034360.6977581,176700000.0,0.0,0.018616145545186646,scenario 4 option 88
30545,0.0,403034360.6977581,176700000.0,0.0,0.0,scenario 4 option 88
30546,2019158.2344587469,403034360.6977581,176700000.0,0.0,0.0016043056160465132,scenario 4 option 88
30547,23225765.03529808,403034360.6977581,176700000.0,0.0,0.018549831919644447,scenario 4 option 88
30548,17325586.746236656,403034360.6977581,176700000.0,0.0,0.008835473929348607,scenario 4 option 88
30549,0.0,403034360.6977581,176700000.0,0.0,0.0,scenario 4 option 88
30550,0.0,403034360.6977581,176700000.0,0.0,0.0,scenario 4 option 88
30551,8055609.320451697,403034360.6977581,176700000.0,0.0,0.008246406030607212,scenario 4 option 88
30552,0.0,403034360.6977581,176700000.0,0.0,0.0,scenario 4 option 88
30553,0.0,403034360.6977581,176700000.0,0.0,0.0,scenario 4 option 88
30554,0.0,403034360.6977581,176700000.0,0.0,0.0,scenario 4 option 88
30555,493977.4535636664,403034360.6977581,176700000.0,0.0,0.00035985846579809113,scenario 4 option 88
30556,3329148.282051083,403034360.6977581,176700000.0,0.0,0.0038990557970489015,scenario 4 option 88
30557,0.0,403034360.6977581,176700000.0,0.0,0.0,scenario 4 option 88
30558,1024597.9083692813,403034360.6977581,176700000.0,0.0,0.0009171893883042311,scenario 4 option 88
30559,666091.1573829502,403034360.6977581,176700000.0,0.0,0.00037383823920973387,scenario 4 option 88
30560,0.0,403034360.6977581,176700000.0,0.0,0.0,scenario 4 option 88
30561,2219142840.135418,403034360.6977581,176700000.0,0.0,1.574120199291406,scenario 4 option 88
30562,0.0,403034360.6977581,176700000.0,0.0,0.0,scenario 4 option 88
30563,0.0,403034360.6977581,176700000.0,0.0,0.0,scenario 4 option 88
30564,738212.0377638075,403034360.6977581,176700000.0,0.0,0.0008740149128563632,scenario 4 option 88
30565,85893404.72307885,403034360.6977581,176700000.0,0.0,0.08509915860274804,scenario 4 option 88
30566,0.0,403034360.6977581,176700000.0,0.0,0.0,scenario 4 option 88
30567,0.0,403034360.6977581,176700000.0,0.0,0.0,scenario 4 option 88
30568,10005393.897751201,403034360.6977581,176700000.0,0.0,0.011393371008992924,scenario 4 option 88
30569,143301973.75097263,403034360.6977581,176700000.0,0.0,0.05944238234854206,scenario 4 option 88
30570,2972983.4128924375,403034360.6977581,176700000.0,0.0,0.002148107686504309,scenario 4 option 88
30571,2010821.5356166635,403034360.6977581,176700000.0,0.0,0.0012941810375474742,scenario 4 option 88
30572,35239706.14605365,403034360.6977581,176700000.0,0.0,0.018009204834465962,scenario 4 option 88
30573,0.0,403034360.6977581,176700000.0,0.0,0.0,scenario 4 option 88
30574,3194010.4791514035,403034360.6977581,176700000.0,0.0,0.0019891745285492484,scenario 4 option 88
30575,0.0,403034360.6977581,176700000.0,0.0,0.0,scenario 4 option 88
30576,0.0,403034360.6977581,176700000.0,0.0,0.0,scenario 4 option 88
30577,0.0,403034360.6977581,176700000.0,0.0,0.0,scenario 4 option 88
30578,0.0,403034360.6977581,176700000.0,0.0,0.0,scenario 4 option 88
30579,0.0,403034360.6977581,176700000.0,0.0,0.0,scenario 4 option 88
30580,0.0,403034360.6977581,176700000.0,0.0,0.0,scenario 4 option 88
30581,0.0,403034360.6977581,176700000.0,0.0,0.0,scenario 4 option 88
30582,66884222.99079892,403034360.6977581,176700000.0,0.0,0.040440777598347515,scenario 4 option 88
30583,0.0,403034360.6977581,176700000.0,0.0,0.0,scenario 4 option 88
30584,0.0,403034360.6977581,176700000.0,0.0,0.0,scenario 4 option 88
30585,3912244.1902757073,403034360.6977581,176700000.0,0.0,0.002487361698429345,scenario 4 option 88
30586,0.0,403034360.6977581,176700000.0,0.0,0.0,scenario 4 option 88
30587,0.0,403034360.6977581,176700000.0,0.0,0.0,scenario 4 option 88
30588,6797979.996555962,403034360.6977581,176700000.0,0.0,0.004948974007311423,scenario 4 option 88
30589,0.0,403034360.6977581,176700000.0,0.0,0.0,scenario 4 option 88
30590,1933620.725923577,403034360.6977581,176700000.0,0.0,0.001502701843859713,scenario 4 option 88
30591,10153856.01936801,403034360.6977581,176700000.0,0.0,0.007146225392138234,scenario 4 option 88
30592,0.0,403034360.6977581,176700000.0,0.0,0.0,scenario 4 option 88
30593,0.0,403034360.6977581,176700000.0,0.0,0.0,scenario 4 option 88
30594,0.0,403034360.6977581,176700000.0,0.0,0.0,scenario 4 option 88
30595,9578315.63018728,403034360.6977581,176700000.0,0.0,0.0053325309357191795,scenario 4 option 88
30596,0.0,403034360.6977581,176700000.0,0.0,0.0,scenario 4 option 88
30597,0.0,403034360.6977581,176700000.0,0.0,0.0,scenario 4 option 88
30598,707868.4443493814,403034360.6977581,176700000.0,0.0,0.0005681387957799456,scenario 4 option 88
30599,96319106.63619277,403034360.6977581,176700000.0,0.0,0.06391445896992143,scenario 4 option 88
30600,2360775.617446057,231436920.47889823,213300000.0,150.2665334918138,0.0001526227817895402,scenario 4 option 89
30601,34925437.54982134,231436920.47889823,213300000.0,3408.0173925815557,0.002625261523339736,scenario 4 option 89
30602,20239700.671424054,231436920.47889823,213300000.0,1242.6154867029109,0.0025568297811209215,scenario 4 option 89
30603,41604833.03624203,231436920.47889823,213300000.0,2377.958336864763,0.001730041473572533,scenario 4 option 89
30604,262457657.121213,231436920.47889823,213300000.0,4585.468175837341,0.019145496950857637,scenario 4 option 89
30605,66324631.40913355,231436920.47889823,213300000.0,4961.871465660301,0.00867715818201242,scenario 4 option 89
30606,162136868.08515847,231436920.47889823,213300000.0,6784.377338591057,0.012993921265341992,scenario 4 option 89
